Date,RW pH,TW pH,RW Tur,TW Tur,TW FRC,RW Colour,TW Colour,RW TDS,TW TDS,RW Iron,TW Iron,RW  Hardness,TW Hardness,RW S Solids,TW S Solids,RW Aluminium,TW Aluminium,RW Chloride,TW Chloride,RW Manganese,TW Manganese,RW Conductivity  ,TW Conductivity  ,RW Calcium,RW Calcium.1,TW Calcium,TW Calcium.1,RW Magnesium,RW Magnesium.1,TW Magnesium,TW Magnesium.1,RW Alkalinity ,TW Alkalinity ,RW Ammonia as N,TW Ammonia as N,RW Total algal counts,TW Total algal counts,RW Fecal coliform,TW Fecal coliform,RW Total coliform,TW Total coliform
2024-04-01,8.005416666666665,7.744583333333334,4.1499999999999995,0.9620833333333335,1.0454166666666664,9,3,321,335,0.0459,0.0512,153,160,3.2,0.8,0.015,0.028,44,50,0.0314,0.0272,486.3636363636363,507.57575757575756,67,26.8,71,28.4,86,20.898,89,21.627,157,138,0.139,0.113,20000000,0,1800,2,1800,2
2024-04-02,8.012083333333331,7.690416666666667,5.0375000000000005,0.9604166666666668,0.9108333333333333,9,3,341,348,0.0727,0.0844,160,169,3.6,0.8,0.019,0.029,48,53,0.0259,0.028,516.6666666666666,527.2727272727273,73,29.2,78,31.2,86,20.898,91,22.113,163,148,0.132,0.105,20000000,0,1800,2,1800,2
2024-04-03,8.028333333333334,7.695833333333334,4.682916666666666,0.9729166666666668,1.0908333333333333,8,3,330,335,0.0399,0.067,156,164,3.6,0.8,0.017,0.026,50,54,0.0242,0.0255,500.0,507.57575757575756,71,28.4,76,30.4,84,20.412,89,21.627,162,148,0.138,0.104,24000000,0,1800,2,1800,2
2024-04-04,7.977499999999999,7.694999999999999,4.779583333333334,0.9691666666666667,1.1162500000000002,8,3,352,357,0.0387,0.0561,141,149,3.2,0.8,0.012,0.026,46,50,0.0255,0.028,533.3333333333333,540.9090909090909,77,30.8,81,32.4,65,15.795,69,16.767,157,148,0.12,0.094,24000000,0,1800,2,1800,2
2024-04-05,8.005833333333333,7.710833333333333,4.485833333333334,0.9720833333333333,1.0991666666666668,9,3,337,346,0.0694,0.081,143,156,3.2,0.8,0.017,0.027,46,51,0.0272,0.028,510.60606060606057,524.2424242424242,73,29.2,77,30.8,71,17.253,75,18.224999999999998,162,153,0.139,0.115,16000000,0,1800,2,1800,2
2024-04-06,8.024166666666668,7.67625,4.955,0.9670833333333334,1.0970833333333336,9,3,329,336,0.1269,0.1443,152,158,4.0,1.2,0.018,0.028,43,48,0.028,0.0276,498.48484848484844,509.09090909090907,67,26.8,69,27.6,85,20.655,89,21.627,162,148,0.122,0.093,20000000,0,1800,2,1800,2
2024-04-07,8.023749999999998,7.724166666666665,4.36875,0.9574999999999999,1.075,8,3,330,335,0.0853,0.124,145,154,2.8,0.8,0.018,0.029,43,47,0.0441,0.0378,500.0,507.57575757575756,65,26.0,71,28.4,81,19.683,83,20.169,162,148,0.142,0.142,20000000,0,1800,2,1800,2
2024-04-08,8.044583333333335,7.698333333333333,4.267083333333333,0.945416666666667,1.0316666666666665,8,3,335,344,0.1677,0.1738,152,160,3.2,0.8,0.014,0.028,46,52,0.0373,0.403,507.57575757575756,521.2121212121211,73,29.2,77,30.8,79,19.197,83,20.169,167,153,0.139,0.129,16000000,0,1800,2,1800,2
2024-04-09,8.09125,7.78375,4.327083333333333,0.97375,1.05875,9,3,332,340,0.1043,0.1309,154,162,2.8,0.4,0.017,0.027,47,53,0.0416,0.0411,503.030303030303,515.1515151515151,75,30.0,81,32.4,79,19.197,81,19.683,167,153,0.139,0.128,20000000,0,1800,2,1800,2
2024-04-10,8.081666666666665,7.720416666666668,4.4870833333333335,0.9649999999999999,1.1141666666666665,9,3,349,355,0.0333,0.0776,149,158,2.8,0.8,0.017,0.025,46,51,0.0399,0.0437,528.7878787878788,537.8787878787879,71,28.4,75,30.0,79,19.197,83,20.169,172,157,0.135,0.123,20000000,0,1800,2,1800,2
2024-04-11,8.037916666666666,7.664166666666667,4.248333333333333,0.9716666666666663,1.07375,8,3,353,369,0.0701,0.0858,145,154,3.6,0.8,0.016,0.027,46,50,0.0293,0.0289,534.8484848484849,559.090909090909,67,26.8,71,28.4,79,19.197,83,20.169,167,153,0.139,0.119,20000000,0,1800,2,1800,2
2024-04-12,8.08375,7.76125,3.9091666666666662,0.9741666666666667,1.1291666666666664,9,3,346,354,0.038,0.109,143,149,2.8,0.8,0.011,0.025,46,49,0.0272,0.0263,524.2424242424242,536.3636363636364,65,26.0,69,27.6,79,19.197,81,19.683,172,162,0.09,0.08,20000000,0,1800,2,1800,2
2024-04-13,8.055833333333334,7.755416666666666,3.913749999999999,0.9745833333333334,1.0533333333333332,9,3,383,390,0.0669,0.0975,147,156,2.8,0.8,0.015,0.028,52,58,0.0361,0.0356,580.3030303030303,590.9090909090909,67,26.8,71,28.4,81,19.683,85,20.655,177,167,0.09,0.069,20000000,0,1800,2,1800,2
2024-04-14,8.02125,7.715,3.882916666666667,0.9608333333333331,1.1195833333333336,9,3,357,376,0.0993,0.1231,147,154,3.2,0.8,0.015,0.026,46,52,0.031,0.0301,540.9090909090909,569.6969696969696,67,26.8,69,27.6,81,19.683,85,20.655,177,162,0.161,0.148,20000000,0,1800,2,1800,2
2024-04-15,8.044583333333334,7.744166666666666,5.1674999999999995,0.9545833333333333,1.0112499999999998,8,3,330,338,0.0479,0.0754,148,154,3.6,0.8,0.015,0.029,43,48,0.028,0.0255,500.0,512.1212121212121,67,26.8,71,28.4,81,19.683,83,20.169,167,153,0.15,0.146,20000000,0,1800,2,1800,2
2024-04-16,8.02125,7.75,5.649583333333332,0.9554166666666667,1.0441666666666667,9,3,323,331,0.0486,0.0776,137,143,4.4,0.8,0.015,0.032,52,57,0.0268,0.0247,489.3939393939394,501.5151515151515,67,26.8,71,28.4,71,17.253,73,17.739,167,153,0.137,0.126,16000000,0,1800,2,1800,2
2024-04-17,8.011666666666667,7.747916666666668,5.278750000000001,0.9687500000000001,1.0566666666666669,8,3,332,338,0.1189,0.1543,143,150,4.8,1.2,0.014,0.027,46,51,0.0251,0.0247,503.030303030303,512.1212121212121,71,28.4,75,30.0,73,17.739,75,18.224999999999998,167,153,0.153,0.13,20000000,0,1800,2,1800,2
2024-04-18,8.03208333333333,7.774583333333335,4.807499999999999,0.9687499999999999,1.0320833333333332,9,3,360,374,0.0949,0.1469,141,149,3.6,0.8,0.015,0.028,46,52,0.0255,0.0285,545.4545454545454,566.6666666666666,69,27.6,73,29.2,73,17.739,77,18.711,167,157,0.143,0.122,20000000,0,1800,2,1800,2
2024-04-19,8.034166666666666,7.776666666666667,5.321249999999999,0.9733333333333333,0.9595833333333337,9,3,346,353,0.038,0.0859,145,156,4.4,0.8,0.013,0.029,47,51,0.0263,0.0234,524.2424242424242,534.8484848484849,67,26.8,71,28.4,79,19.197,83,20.169,172,162,0.164,0.131,20000000,0,1800,2,1800,2
2024-04-20,8.154583333333333,7.8495833333333325,4.781666666666667,0.9562500000000002,1.0084166666666667,9,3,345,353,0.0736,0.1399,143,152,4.8,0.8,0.013,0.031,46,50,0.0268,0.0268,522.7272727272727,534.8484848484849,67,26.8,71,28.4,77,18.711,81,19.683,177,167,0.145,0.138,24000000,0,1800,2,1800,2
2024-04-21,8.120416666666669,7.723749999999999,5.935833333333334,0.9620833333333336,1.1104166666666666,8,3,344,351,0.0917,0.1008,145,154,4.4,1.2,0.015,0.029,45,49,0.0259,0.0251,521.2121212121211,531.8181818181818,65,26.0,67,26.8,81,19.683,87,21.141,172,162,0.155,0.137,20000000,0,1800,2,1800,2
2024-04-22,8.10375,7.729166666666667,6.524166666666665,0.9633333333333334,1.0404166666666665,8,3,347,353,0.0533,0.0903,143,149,5.2,1.2,0.013,0.028,44,48,0.0234,0.0242,525.7575757575758,534.8484848484849,65,26.0,67,26.8,79,19.197,83,20.169,172,157,0.147,0.13,24000000,0,1800,2,1800,2
2024-04-23,8.055833333333334,7.6933333333333325,5.658333333333332,0.9554166666666667,1.0566666666666669,10,4,351,362,0.0419,0.0791,131,139,4.0,0.8,0.013,0.026,49,53,0.0242,0.0251,531.8181818181818,548.4848484848485,67,26.8,71,28.4,65,15.795,69,16.767,162,148,0.157,0.14,24000000,0,1800,2,1800,2
2024-04-24,8.057916666666666,7.705833333333332,5.3725,0.9733333333333333,1.0520833333333335,8,3,343,350,0.0595,0.1024,123,131,4.0,0.8,0.014,0.028,45,49,0.247,0.0247,519.6969696969696,530.3030303030303,65,26.0,69,27.6,59,14.337,63,15.309,167,153,0.136,0.128,24000000,0,1800,2,1800,2
2024-04-25,8.0875,7.769166666666666,5.903333333333333,0.9670833333333334,1.0904166666666668,8,4,353,365,0.076,0.118,129,137,4.8,1.2,0.013,0.025,44,51,0.023,0.025,534.8484848484849,553.030303030303,73,29.2,77,30.8,57,13.850999999999999,61,14.823,172,157,0.147,0.126,24000000,0,1800,2,1800,2
2024-04-26,8.174583333333334,7.683333333333333,6.110416666666667,0.9524999999999998,1.00625,8,4,347,353,0.028,0.088,127,133,5.2,1.6,0.014,0.035,44,50,0.027,0.026,525.7575757575758,534.8484848484849,67,26.8,69,27.6,61,14.823,65,15.795,172,162,0.164,0.127,20000000,0,1800,2,1800,2
